year,us,japon,uk,hongkong,alemania,australia,brasil,china,india
2000,0.16666666666666666,0.8333333333333334,0.5,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.05555555555555555,0.3888888888888889,0.2777777777777778
2001,0.6111111111111112,0.16666666666666666,0.5,0.7222222222222222,0.9444444444444444,0.2777777777777778,0.3888888888888889,0.8333333333333334,0.05555555555555555
2002,0.6111111111111112,0.8333333333333334,0.3888888888888889,0.16666666666666666,0.2777777777777778,0.9444444444444444,0.5,0.7222222222222222,0.05555555555555555
2003,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.6111111111111112,0.9444444444444444,0.5,0.7222222222222222,0.8333333333333334
2004,0.6111111111111112,0.5,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.3888888888888889,0.8333333333333334,0.7222222222222222,0.9444444444444444
2005,0.6111111111111112,0.16666666666666666,0.5,0.2777777777777778,0.05555555555555555,0.8333333333333334,0.9444444444444444,0.3888888888888889,0.7222222222222222
2006,0.05555555555555555,0.6111111111111112,0.8333333333333334,0.16666666666666666,0.2777777777777778,0.7222222222222222,0.9444444444444444,0.3888888888888889,0.5
2007,0.2777777777777778,0.16666666666666666,0.8333333333333334,0.6111111111111112,0.7222222222222222,0.05555555555555555,0.9444444444444444,0.5,0.3888888888888889
2008,0.6111111111111112,0.9444444444444444,0.3888888888888889,0.5,0.16666666666666666,0.05555555555555555,0.8333333333333334,0.2777777777777778,0.7222222222222222
2009,0.5,0.2777777777777778,0.8333333333333334,0.16666666666666666,0.9444444444444444,0.7222222222222222,0.6111111111111112,0.05555555555555555,0.3888888888888889
2010,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.5,0.6111111111111112,0.9444444444444444,0.8333333333333334,0.7222222222222222
2011,0.16666666666666666,0.6111111111111112,0.2777777777777778,0.3888888888888889,0.5,0.05555555555555555,0.8333333333333334,0.9444444444444444,0.7222222222222222
2012,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.16666666666666666,0.5,0.9444444444444444
2013,0.6111111111111112,0.3888888888888889,0.2777777777777778,0.8333333333333334,0.16666666666666666,0.9444444444444444,0.5,0.05555555555555555,0.7222222222222222
2014,0.16666666666666666,0.7222222222222222,0.9444444444444444,0.6111111111111112,0.5,0.3888888888888889,0.8333333333333334,0.05555555555555555,0.2777777777777778
2015,0.3888888888888889,0.7222222222222222,0.16666666666666666,0.8333333333333334,0.5,0.2777777777777778,0.9444444444444444,0.6111111111111112,0.05555555555555555
2016,0.2777777777777778,0.05555555555555555,0.3888888888888889,0.5,0.6111111111111112,0.8333333333333334,0.9444444444444444,0.7222222222222222,0.16666666666666666
2017,0.2777777777777778,0.05555555555555555,0.3888888888888889,0.6111111111111112,0.7222222222222222,0.5,0.8333333333333334,0.16666666666666666,0.9444444444444444
2018,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.7222222222222222,0.9444444444444444,0.3888888888888889,0.5,0.6111111111111112,0.8333333333333334
2019,0.2777777777777778,0.7222222222222222,0.3888888888888889,0.5,0.8333333333333334,0.9444444444444444,0.16666666666666666,0.6111111111111112,0.05555555555555555
2020,0.7222222222222222,0.9444444444444444,0.6111111111111112,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.8333333333333334,0.5,0.05555555555555555
2021,0.7222222222222222,0.2777777777777778,0.9444444444444444,0.6111111111111112,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.8333333333333334,0.5
2022,0.16666666666666666,0.9444444444444444,0.05555555555555555,0.6111111111111112,0.2777777777777778,0.8333333333333334,0.3888888888888889,0.5,0.7222222222222222
2023,0.8333333333333334,0.16666666666666666,0.3888888888888889,0.5,0.6111111111111112,0.2777777777777778,0.9444444444444444,0.7222222222222222,0.05555555555555555
2024,0.05555555555555555,0.2777777777777778,0.8333333333333334,0.5,0.9444444444444444,0.6111111111111112,0.7222222222222222,0.16666666666666666,0.3888888888888889
2025,0.2777777777777778,0.9444444444444444,0.8333333333333334,0.6111111111111112,0.3888888888888889,0.05555555555555555,0.7222222222222222,0.16666666666666666,0.5
